NAXX	Kel'Thuzad	13507	NAXX	NEUTRAL
NAXX	Dark Cultist	8766	NAXX	PRIEST
OG	N'Zoth the Corruptor	19513	OG	NEUTRAL
OG	C'Thun	18073	OG	NEUTRAL
OG	Disciple of C'Thun	15270	OG	NEUTRAL
OG	Beckoner of Evil	14969	OG	NEUTRAL
OG	C'Thun's Chosen	13601	OG	NEUTRAL
OG	Twilight Elder	11998	OG	NEUTRAL
OG	Twin Emperor Vek'lor	11703	OG	NEUTRAL
OG	Yogg-Saron Hope's End	11327	OG	NEUTRAL
OG	Thing from Below	10211	OG	SHAMAN
OG	Ravaging Ghoul	9886	OG	WARRIOR
TB	Nefarian	10007	TB	NEUTRAL
TGT	Justicar Trueheart	22789	TGT	NEUTRAL
TGT	Twilight Guardian	17574	TGT	NEUTRAL
TGT	Totem Golem	16071	TGT	SHAMAN
TGT	Living Roots	15536	TGT	DRUID
TGT	Argent Horserider	12527	TGT	NEUTRAL
TGT	Bash	10670	TGT	WARRIOR
TGT	Chillmaw	10284	TGT	NEUTRAL
TGT	Tuskarr Totemic	10181	TGT	SHAMAN
TGT	Refreshment Vendor	9201	TGT	NEUTRAL
TGT	King's Elekk	8602	TGT	HUNTER
