Animal Companion##Savannah Highmane	0.39901262761955936	11881.0	16449.0	13327.0
Equality##Truesilver Champion	0.3987365193486995	15085.0	16413.0	21419.0
Fireball##Flamestrike	0.39843535889578197	15992.0	21886.0	18251.0
C'Thun##Twin Emperor Vek'lor	0.39752991123118486	7210.0	10853.0	7284.0
Coldlight Seer##Grimscale Oracle	0.3962741906312172	2191.0	2764.0	2765.0
Kabal Crystal Runner##Kabal Lackey	0.39588100686498856	519.0	601.0	710.0
Eaglehorn Bow##Unleash the Hounds	0.39403202834612844	11343.0	14527.0	14260.0
Dark Peddler##Imp Gang Boss	0.3930072431369042	8790.0	10474.0	11892.0
Aldor Peacekeeper##Consecration	0.3921067106710671	14257.0	15219.0	21141.0
Hellfire##Shadowflame	0.3911078650659606	8568.0	11495.0	10412.0
Dispatch Kodo##Trogg Beastrager	0.39064856711915535	777.0	1067.0	922.0
Swipe##Wild Growth	0.3905116221866929	12701.0	19240.0	13284.0
Shadowflame##Siphon Soul	0.3904663822274533	7962.0	10412.0	9979.0
C'Thun##Twilight Elder	0.3892688943709352	6943.0	10853.0	6983.0
Flame Imp##Voidwalker	0.3887718312497074	8303.0	9466.0	11891.0
Houndmaster##Savannah Highmane	0.38747957691976953	9012.0	9931.0	13327.0
Aldor Peacekeeper##Truesilver Champion	0.3868660953108794	14174.0	15219.0	21419.0
Mal'Ganis##Voidcaller	0.38613861386138615	3120.0	3648.0	4432.0
Druid of the Claw##Swipe	0.3849547829896423	12302.0	12717.0	19240.0
Mana Wyrm##Sorcerer's Apprentice	0.384921622294103	9282.0	13439.0	10675.0
Darkshire Librarian##Malchezaar's Imp	0.3847745138601572	930.0	1127.0	1290.0
Force of Nature##Savage Roar	0.3838501291989664	5942.0	6152.0	9328.0
Arcane Intellect##Flamestrike	0.38378652977193123	14354.0	19150.0	18251.0
Hellfire##Mortal Coil	0.383400509994242	9322.0	11495.0	12819.0
Grimestreet Enforcer##Grimestreet Outfitter	0.3830499742400824	1487.0	1564.0	2318.0
Bloodsail Cultist##Upgrade!	0.38304314912944737	2024.0	2391.0	2893.0
Aldor Peacekeeper##Tirion Fordring	0.3827937156220151	11622.0	15219.0	15142.0
Mysterious Challenger##Redemption	0.3815302649104632	2578.0	2781.0	3976.0
SI:7 Agent##Sap	0.3813953488372093	11070.0	14151.0	14874.0
Murloc Tidecaller##Murloc Tidehunter	0.38099389712292936	2622.0	3136.0	3746.0
Kill Command##Savannah Highmane	0.38096237970253716	10886.0	15248.0	13327.0
